Timestamp,Latitude,Longitude
1655292236586,-22.829912,-47.077183
1655292238786,-22.829891,-47.077114
1655292239866,-22.829882,-47.077045
1655292240785,-22.829912,-47.07705
1655292243000,-22.83,-47.077126
1655292244000,-22.830042,-47.07711
1655292245000,-22.830088,-47.07709
1655292246000,-22.83015,-47.077072
1655292247000,-22.830227,-47.077065
1655292248000,-22.830305,-47.07705
1655292249000,-22.830385,-47.077038
1655292250000,-22.830467,-47.077026
1655292251000,-22.830544,-47.07702
1655292252000,-22.83062,-47.077007
1655292253000,-22.830694,-47.076996
1655292254000,-22.830767,-47.076984
1655292255000,-22.830833,-47.076973
1655292256000,-22.830894,-47.076965
1655292257000,-22.830946,-47.07696
1655292258000,-22.83099,-47.076954
1655292259000,-22.83103,-47.07695
1655292260000,-22.831062,-47.076942
1655292261000,-22.831078,-47.07694
1655292262000,-22.831104,-47.076942
1655292263000,-22.831148,-47.076954
1655292264000,-22.831192,-47.07698
1655292265000,-22.831236,-47.077015
1655292266000,-22.831285,-47.07706
1655292267000,-22.831339,-47.077118
1655292268000,-22.831388,-47.077175
1655292269000,-22.831434,-47.07722
1655292270000,-22.831467,-47.077255
1655292271000,-22.831488,-47.07727
1655292272000,-22.831501,-47.077274
1655292273000,-22.831516,-47.077267
1655292274000,-22.831532,-47.07725
1655292275000,-22.831549,-47.07723
1655292276000,-22.831581,-47.077187
1655292277000,-22.831621,-47.077118
1655292278000,-22.831663,-47.07704
1655292279000,-22.83171,-47.076954
1655292280000,-22.831757,-47.076878
1655292281000,-22.831806,-47.0768
1655292282000,-22.831854,-47.07673
1655292283000,-22.831898,-47.076668
1655292284000,-22.831932,-47.076622
1655292285000,-22.831947,-47.076603
1655292286000,-22.831955,-47.076588
1655292287000,-22.831959,-47.076588
1655292288000,-22.831953,-47.0766
1655292289000,-22.831945,-47.076614
1655292290000,-22.83194,-47.076633
1655292291000,-22.831936,-47.076653
1655292292000,-22.831934,-47.07666
1655292293000,-22.831936,-47.076656
1655292294000,-22.83194,-47.07665
1655292295000,-22.831951,-47.07663
1655292296000,-22.831966,-47.076607
1655292297000,-22.83198,-47.076576
1655292298000,-22.831982,-47.076538
1655292299000,-22.831963,-47.076496
1655292300000,-22.831924,-47.076447
1655292301000,-22.831856,-47.076393
1655292302000,-22.831764,-47.076332
1655292303000,-22.831652,-47.076267
1655292304000,-22.831533,-47.0762
1655292305000,-22.831429,-47.076134
1655292306000,-22.831316,-47.076065
1655292307000,-22.831211,-47.076
1655292308000,-22.83111,-47.075935
1655292309000,-22.83101,-47.075867
1655292310000,-22.830917,-47.075798
1655292311000,-22.830822,-47.07573
1655292312000,-22.83073,-47.075665
1655292313000,-22.830639,-47.075603
1655292314000,-22.830551,-47.075542
1655292315000,-22.830462,-47.075485
1655292316000,-22.830376,-47.075428
1655292317000,-22.830286,-47.07537
1655292318000,-22.830194,-47.07531
1655292319000,-22.830103,-47.07525
1655292320000,-22.830013,-47.07519
1655292321000,-22.82993,-47.075134
1655292322000,-22.829845,-47.075073
1655292323000,-22.829775,-47.07502
1655292324000,-22.829714,-47.074974
1655292325000,-22.82966,-47.074932
1655292327000,-22.829556,-47.074852
1655292328000,-22.829496,-47.074806
1655292329000,-22.829426,-47.074757
1655292331000,-22.829245,-47.074642
1655292332000,-22.829142,-47.074577
1655292333000,-22.829027,-47.074505
1655292334000,-22.828913,-47.074432
1655292335000,-22.828798,-47.074352
1655292336000,-22.828684,-47.074272
1655292337000,-22.828573,-47.074196
1655292338000,-22.828465,-47.07412
1655292339000,-22.82836,-47.074043
1655292340000,-22.828257,-47.073967
1655292341000,-22.828157,-47.073895
1655292342000,-22.82806,-47.07383
1655292343000,-22.827963,-47.07376
1655292344000,-22.827864,-47.073692
1655292345000,-22.827768,-47.07363
1655292346000,-22.827671,-47.073563
1655292347000,-22.827576,-47.073498
1655292348000,-22.827482,-47.07343
1655292349000,-22.827393,-47.073364
1655292350000,-22.8273,-47.0733
1655292351000,-22.827204,-47.073235
1655292352000,-22.827103,-47.07317
1655292353000,-22.826996,-47.073097
1655292354000,-22.826883,-47.073017
1655292355000,-22.826765,-47.072933
1655292356000,-22.826645,-47.072845
1655292357000,-22.826529,-47.07276
1655292358000,-22.826416,-47.072678
1655292359000,-22.826307,-47.072598
1655292360000,-22.826202,-47.07252
1655292361000,-22.826101,-47.072453
1655292362000,-22.826004,-47.072384
1655292363000,-22.825907,-47.07232
1655292364000,-22.82581,-47.07225
1655292365000,-22.825712,-47.072186
1655292366000,-22.825615,-47.07212
1655292367000,-22.82552,-47.07206
1655292368000,-22.825422,-47.07199
1655292369000,-22.825329,-47.071926
1655292370000,-22.825233,-47.071857
